model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF 2|TieuChuan||battery|Pin & sạc|max_charge_power_kw|Công suất sạc tối đa|24|kW|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||battery|Pin & sạc|fast_charge_min|Thời gian nạp pin nhanh nhất|34|phút|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|drivetrain|Dẫn động|RWD/CẦU SAU||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|regenerative_braking|Hệ thống phanh tái sinh|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|drive_modes|Chế độ lái|ECO/NORMAL||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|headlight_type|Đèn chiếu sáng phía trước|LED||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|tail_light_type|Đèn hậu|HALOGEN||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|exterior_mirror_type|Gương chiếu hậu ngoài|CHỈNH CƠ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|auto_wiper|Gạt mưa trước tự động|ĐIỀU CHỈNH GIÁN ĐOẠN||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|trunk_lid_type|Điều chỉnh cốp sau|CHỈNH CƠ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||infotainment|Giải trí & kết nối|self_diagnosis|Tự chẩn đoán lỗi|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||connected|Kết nối thông minh|charge_payment|Thanh toán phí sạc|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||chassis|Khung gầm & hệ thống treo|suspension_type|Hệ thống treo (trước/sau)|MACPHERSON/MACPHERSON||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
